category,title,description,address,phone,website,email
Health,NYC Health – Pregnancy Resources,"Free or low-cost services related to pregnancy, including prenatal care, childbirth, and postpartum support.","Multiple locations
Phone: 311
Website: Visit Site",,,
Health,Institute for Family Health,"Primary care, reproductive health, mental health, dental services, and social support across NYC.","Various locations in NYC
Website: Visit Site",,,
Health,Planned Parenthood,"Reproductive health services including prenatal exams, family planning, and education.","Multiple locations
Website: Visit Site",,,
Health,Citywide Doula Initiative,"Free doula services for pregnant women before, during, and after childbirth.","Citywide via NYC 311/ Multiple locations
Phone Number:  311
Website: Visit Site",,,
Health,Growing Up Healthy Hotline,Information on Medicaid and other pregnancy-related health programs.,"New York State
Phone Number: 1-800-522-5006
Website: Visit Site",,,
Mental,The Motherhood Center,In-person and virtual support groups for pregnant and postpartum women; programs for mood disorders.,"205 Lexington Ave, 10th Floor, New York, NY 10016
Website: Visit Site",,,
Mental,HRP Mamas – Expectant Moms Circle,Free weekly virtual and in-person support groups for expectant mothers.,"Online and various NYC locations
Website: Visit Site",,,
Mental,HThe Bridge Program,Behavioral health services for adults with mental illness and/or substance use disorders.,"248 West 108th Street, New York, NY 10025
Phone Number: 646-979-6794
Website: Visit Site",,,
Mental,Avail NYC,"Free, confidential support for women facing unexpected pregnancy or past pregnancy experiences.","115 W 45th St., 4th Floor, New York, NY 10036
Phone Number:  212-689-1705
Website: Visit Site",,,
Resources,Sisters of Life – Visitation Center,"Provides support for pregnant women, including housing referrals, baby items, legal and medical care referrals, and emotional support.",,,https://sistersoflife.org,
Resources,"Pregnancy Help, Inc.","Offers free pregnancy tests, counseling, and support services for pregnant women.","229 W. 14th St., New York, NY 10011
Phone Number: 212-243-7119
Website: Visit Site",,,
Resources,NYC Mammas Give Back,"Donates essential items for pregnancy, postpartum, and early childhood to families in need.",,,https://www.nycmammasgiveback.org/,
Resources,NYC 311,General city support and local resource guidance.,"Citywide
Phone Number: 311
Website: Visit Site",,,
Resources,Food Bank For New York City,"A large network that provides free meals through over 1,200 community partners including food pantries, soup kitchens, and senior centers",,,https://www.foodbanknyc.org/get-help,
Resources,City Harvest,"NYC’s first and largest food rescue organization, delivering fresh produce and pantry staples to communities in need.",,,https://www.cityharvest.org,
Resources,Community Food Connection (CFC) – NYC HRA,A city-run program that supports over 700 food pantries and community kitchens across NYC.,,,https://www.nyc.gov/site/hra/help/food-assistance.page,
Resources,New York Common Pantry,"Offers fresh and nutritious food for free, along with social service referrals and benefit assistance.","8 East 109th Street, New York, NY 10029
Services:  Food pantry, public benefits assistance, case management.
Website: Visit Site",,,
Resources,West Side Campaign Against Hunger,"West Side Campaign Against Hunger is on a mission to alleviate hunger by ensuring that all New Yorkers have access with dignity to a choice of healthy food and supportive services. Every Tuesday to Friday, 9 am to 1 pm","263 W 86th St, New York, NY 10024
Phone:  (212) 362-3662
Website: Visit Site",,,
Housing,NYC Housing Connect,NYC Housing Connect is your portal to find and apply for affordable rental and homeownership opportunities across the five boroughs of New York City.,,,https://housingconnect.nyc.gov/PublicWeb/,
Housing,NYCHA's Section 8 Program,Provides assistance to eligible low- and moderate-income families to rent housing in the private market. Eligibility for this program is based on a family's gross annual income and family size.,,,https://www.nyc.gov/site/nycha/section-8/about-section-8.page,
Housing,Catholic Charities of New York,"Emergency housing, back rent assistance, eviction prevention, housing subsidies, legal aid.","1011 First Avenue, 11th Floor, New York, NY 10022
Phone: 888-744-7900
Website: Visit Site",,,
Housing,Catholic Charities Brooklyn & Queens,"Affordable housing, Homebase prevention program, support for homeless families.","191 Joralemon Street, Brooklyn, NY 11201
Phone: 718-722-6001
Website: Visit Site",,,
Housing,Good Counsel Homes,Shelters and support for homeless pregnant and parenting women.,"600 Meadowlands Pkwy, Suite 251, Secaucus, NJ 07094
Phone: 201-795-0637
Website: Visit Site
Email: info@goodcounselhomes.org",,,
Housing,Convent of the Sacred Heart - Home,A vibrant community that empowers each young woman to share her passion and purpose through our commitment to five core goals.,"450 W 51 St, New York, NY, 10019
Phone: (212) 397-1396
Website: Visit Site",,,
Housing,CPATH (Prevention Assistance and Temporary Housing),"official intake center for families with children who are experiencing homelessness or housing instability. If you’re a single mom with a child under 21 and need a safe place to stay, PATH is where you go to request help.","151 East 151st Street, Bronx, NY 10451- Open 24/7
Phone: (718) 503-6400
Website: Visit Site",,,
Housing,Covenant House New York,"Shelter and services for youth (16–21), including pregnant and parenting youth.","460 W 41st St, New York, NY 10036
Phone: 212-613-0300
Website: Visit Site",,,
Housing,HRA Benefits Access Center – East End,"Shelter and services for youth (16–21), including pregnant and parenting youth.","2322 Third Avenue, 3rd Floor
              New York, NY 10035
Phone: 718-557-1399
Website: Visit Site",,,
Jobs,First Step Job Training – Coalition for the Homeless,"14-week program offering job training, internships, and support services for homeless and low-income women.","New York, NY
Phone: (212) 776-2074
Website: Visit Site",,,
Jobs,Grace Institute of New York,Free 12-week administrative training and job placement program for women.,"New York, NY
Website: Visit Site",,,
Jobs,CAMBA – Jobs to Build On,"Workforce services including job readiness training, resume help, and job placement.","Brooklyn, NY
Website: Visit Site",,,
Jobs,BronxWorks Workforce Development,"Job readiness, referrals, financial counseling, and access to education and benefits.","Bronx, NY
Website: Visit Site",,,
Jobs,New Women New Yorkers,"Career guidance, workshops, and mentoring for immigrant women.","New York, NY
Website: Visit Site",,,
Jobs,AHRC NYC – Job Readiness,"Personalized employment preparation, skill building, and volunteering.","New York, NY
Website: Visit Site",,,
JLegal,Her Justice,"Provides free legal help to low-income women, especially in cases of divorce, child custody, support, and orders of protection.",,"(718) 562-8181
Website: Visit Site",,
Legal,Legal Aid Society – Family Law & Housing,"The largest legal services provider in NYC. Offers free legal representation in housing court, family court (custody, visitation, child support), and immigration.",,"(212) 577-3300
Website: Visit Site",,
Legal,Sanctuary for Families – Legal Services Program,"Specialized in helping survivors of domestic violence and trafficking, including with custody, divorce, and immigration matters.",,"(212) 349-6009
Website: Visit Site",,
Legal,New York Legal Assistance Group (NYLAG),"Free legal help for civil matters like housing, public benefits, family law, and immigration, including asylum and green card issues.",,"(212) 613-5000
Website: Visit Site",,
Legal,Safe Horizon – Legal Advocacy,Provides advocacy and legal services for women and children affected by abuse and trauma.,,"(800) 621-HOPE (4673) – Available 24/7
Website: Visit Site",,
